name;gender;Great Britain;Ireland;U.S.A.;Italy;Malta;Portugal;Spain;France;Belgium;Luxembourg;the Netherlands;East Frisia;Germany;Austria;Swiss;Iceland;Denmark;Norway;Sweden;Finland;Estonia;Latvia;Lithuania;Poland;Czech Republic;Slovakia;Hungary;Romania;Bulgaria;Bosnia and Herzegovina;Croatia;Kosovo;Macedonia;Montenegro;Serbia;Slovenia;Albania;Greece;Russia;Belarus;Moldova;Ukraine;Armenia;Azerbaijan;Georgia;Kazakhstan/Uzbekistan,etc.;Turkey;Arabia/Persia;Israel;China;India/Sri Lanka;Japan;Korea;Vietnam;other countries
Aileen;F;-5;-3;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aili;?F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ailidh;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ailie;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ailis;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ailish;F;-8;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ailsa;F;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aine;?F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ainsley;?;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ainsworth;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aislin;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aislinn;F;-8;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Al;M;-7;;-7;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alan;M;-1;-2;-3;;-8;;;-7;-7;;;;;;-7;;-6;;;;-7;;;;-7;;;;;;-6;;;;;-6;;;-5;;;;;;;-7;;;;;;;;;
Alana;F;-8;;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alanah;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alane;?;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alanna;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alannah;F;-8;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alasdair;M;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alastair;M;-5;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alaster;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alayna;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alayne;?F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albert;M;-2;-7;-3;;-3;;-6;-3;-2;-1;-3;-3;-4;-3;-2;-4;-5;-6;;-5;;;;-8;;-5;-5;;;;;-3;;-8;;;-2;;-6;;;;-1;-6;-5;;;;;;;;;;
Albin;M;-8;;-8;;;;;;-8;;;-7;-8;-5;-6;;;;-6;;;;;;;-6;;;;-5;-8;;;;;-5;;;;;;;;;;;;;;;;;;;
Aldona;F;;;;;;;;;;;;;;;;;;;;;;;0;-6;;;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;
Aldwyn;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alec;M;-5;-8;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aleck;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aled;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aleksander;M;;;;;;;;;;;;;;;;;;-6;;;-3;;;-2;;;;;;;;;;;;-2;-3;;1;1;;;;;;-7;;;;;;;;;
Aleksandra;F;;;;;;;;;;;;;;;;;;;;;-5;-5;-3;-1;;;;;-7;-4;-6;;-2;-3;-2;-3;-5;;-1;-4;;-3;;-7;;-6;;;;;;;;;
Aleksy;M;;;;;;;;;;;;;;;;;;;;;;;;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alene;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex;?;-6;-6;;;-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4;;;;;;
Alexander;M;-2;-8;-4;;-3;;-7;;-4;;-5;-2;-1;-2;-4;-3;-5;-4;-4;;-6;;;;;-2;;;;;;;;;;;;;2;1;-5;0;-3;-3;-2;-2;;;-2;;;;;;
Alexandra;F;-5;-8;-5;;-4;-3;-6;-3;-5;;-5;-3;-3;-3;-3;-4;-7;-8;-5;;-8;;;-7;-5;-4;-7;-2;-7;;;;;;;;;-2;-1;-4;-2;-3;;;;-4;;;-7;;;;;;
Alexandria;F;-8;;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexina;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexis;?F;-8;;-4;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alfred;M;-3;-7;-4;;-1;;-8;-5;-4;-4;;-2;-3;-1;-2;;-5;-7;;-6;;;;-5;;;;;;;;-7;;;;;-2;;;;;;-4;;;;;;;;;;;;
Alfreda;F;;;-8;-8;;;-8;;-7;;;;;-8;-8;;;;;;;;-7;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alice;F;-2;-3;-3;-6;;-3;;-3;-3;-2;-4;-6;-6;-5;-2;;-3;-7;-4;-6;;;;;-4;;;;;;;;;;;;;;;;;;-4;;;;;;;;;;;;
Alicia;F;-7;-8;-4;-8;;;-3;-6;-6;;;;;-8;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;;;;;;
Alicja;F;;;;;;;;;;;;;;;;;;;;;;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alick;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alina;F;;;;-8;;-8;-8;;;;-7;-8;-8;-8;-8;;;;;-5;;-6;-5;-4;;;;-3;;;;;;;;;;;-4;-2;-3;-3;-3;-4;;-4;;;;;;;;;
Alisdair;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alisha;F;-8;;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;
Alison;?F;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alistair;M;-5;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alistaire;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alister;M;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alix;?F;-8;;-8;;;;;-6;-7;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allan;M;-3;;-5;;;;;-7;;;;;;;;;-1;-8;-3;-4;-4;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allana;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allen;M;-6;-7;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;;;;;
Allison;F;-5;-5;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allister;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ally;?F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allyson;F;-8;;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aloysius;M;-8;;-8;;-8;;;;;;-8;-8;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alroy;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alston;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;
Alton;M;-8;;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;
Alun;M;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
